imdb,year,title,code
tf00293564,2007,Rush Hour 3,Update
tf0035423,2001,Kate &amp; Leopold,Update
tk0065466,1970,Beyond the Valley of the Dolls,Update
tf0065466,1970,Beyond the Valley of the Dolls,Update
tk0067065,1971,Escape from the Planet of the Apes,Update
tf0067065,1971,Escape from the Planet of the Apes,Update
tk0067116,1971,The French Connection,Update
tf0067116,1971,The French Connection,Update
tk0067741,1971,Shaft,Update
tf0067741,1971,Shaft,Update
tk0067800,1971,Straw Dogs,Update
tf0067800,1971,Straw Dogs,Update
tk0067992,1971,Willy Wonka &amp; the Chocolate Factory,Update
tf0067992,1971,Willy Wonka &amp; the Chocolate Factory,Update
tf0068156,1972,1776,Update
tk0068646,1972,The Godfather,Update
tf0068646,1972,The Godfather,Update
tf0068699,1973,High Plains Drifter,Update
tf0069089,1972,Pink Flamingos,Update
tf0069704,1973,American Graffiti,Update
tf0070047,1973,The Exorcist,Update
tf0070707,1973,Sleeper,Update
tf0070735,1973,The Sting,Update
tf0071222,1974,Black Christmas,Update
tf0071230,1974,Blazing Saddles,Update
tf0071360,1974,The Conversation,Update
tf0071562,1974,The Godfather: Part II,Update
tf0071853,1975,Monty Python and the Holy Grail,Update
tf0072271,1974,The Texas Chain Saw Massacre,Update
tf0072308,1974,The Towering Inferno,Update
tf0072431,1974,Young Frankenstein,Update
tf0072684,1975,Barry Lyndon,Update
tf0073195,1975,Jaws,Update
tf0073486,1975,One Flew Over the Cuckoo&#39;s Nest,Update
tf0073629,1975,The Rocky Horror Picture Show,Update
tf0074156,1976,Assault on Precinct 13,Update
tf0074486,1977,Eraserhead,Update
tf0074512,1976,Family Plot,Update
tf0074812,1976,Logan&#39;s Run,Update
tf0074958,1976,Network,Update
tf0075148,1976,Rocky,Update
tf0075222,1976,Silent Movie,Update
tf0075249,1976,Sparkle,Update
tf0075314,1976,Taxi Driver,Update
tf0075686,1977,Annie Hall,Update
tf0075784,1977,A Bridge Too Far,Update
tf0075860,1977,Close Encounters of the Third Kind,Update
tf0076141,1977,High Anxiety,Update
tf0076245,1977,Julia,Update
tk0076759,1977,Star Wars,Update
tf0076759,1977,Star Wars,Update
tf0077402,1978,Dawn of the Dead,Update
tf0077405,1978,Days of Heaven,Update
tf0077416,1978,The Deer Hunter,Update
tf0077631,1978,Grease,Update
tf0077651,1978,Halloween,Update
tf0077713,1978,I Spit on Your Grave,Update
tf0077975,1978,Animal House,Update
tf0078346,1978,Superman,Update
tf0078748,1979,Alien,Update
tf0078767,1979,The Amityville Horror,Update
tf0078788,1979,Apocalypse Now,Update
tf0079574,1979,Moonraker,Update
tf0079945,1979,Star Trek: The Motion Picture,Update
tf0080339,1980,Airplane!,Update
tf0080455,1980,The Blues Brothers,Update
tf0080492,1980,Can&#39;t Stop the Music,Update
tf0080684,1980,Star Wars: Episode V - The Empire Strikes Back,Update
tf0080716,1980,Fame,Update
tf0080745,1980,Flash Gordon,Update
tf0080749,1980,The Fog,Update
tf0080761,1980,Friday the 13th,Update
tf0080855,1980,Heaven&#39;s Gate,Update
tf0081375,1980,Private Benjamin,Update
tf0081398,1980,Raging Bull,Update
tf0081505,1980,The Shining,Update
tf0081534,1980,Somewhere in Time,Update
tf0081573,1980,Superman II,Update
tf0081633,1981,Time Bandits,Update
tf0082096,1981,Das Boot,Update
tf0082198,1982,Conan the Barbarian,Update
tf0082340,1981,Escape from New York,Update
tf0082418,1981,Friday the 13th Part 2,Update
tf0082495,1981,Halloween II,Update
tf0082509,1981,Heavy Metal,Update
tf0082517,1981,History of the World: Part I,Update
tf0082971,1981,Raiders of the Lost Ark,Update
tf0083642,1982,The Best Little Whorehouse in Texas,Update
tf0083658,1982,Blade Runner,Update
tf0083722,1982,Cat People,Update
tf0083833,1982,Diner,Update
tf0083866,1982,E.T.: The Extra-Terrestrial,Update
tf0083907,1981,The Evil Dead,Update
tf0083929,1982,Fast Times at Ridgemont High,Update
tf0083944,1982,First Blood,Update
tf0083972,1982,Friday the 13th Part III,Update
tf0084516,1982,Poltergeist,Update
tf0084522,1982,Porky&#39;s,Update
tf0084726,1982,Star Trek: The Wrath of Khan,Update
tf0084805,1982,Tootsie,Update
tf0084827,1982,TRON,Update
tf0085549,1983,Flashdance,Update
tf0086190,1983,Star Wars: Episode VI - Return of the Jedi,Update
tf0086393,1983,Superman III,Update
tf0086541,1983,Videodrome,Update
tf0086567,1983,WarGames,Update
tf0086879,1984,Amadeus,Update
tf0086960,1984,Beverly Hills Cop,Update
tf0086984,1984,Body Double,Update
tf0087078,1984,Conan the Destroyer,Update
tf0087182,1984,Dune,Update
tf0087298,1984,Friday the 13th Part IV: The Final Chapter,Update
tf0087332,1984,Ghostbusters,Update
tf0087363,1984,Gremlins,Update
tf0087469,1984,Indiana Jones and the Temple of Doom,Update
tf0087538,1984,The Karate Kid,Update
tf0087800,1984,A nightmare on Elm Street,Update
tf0087928,1984,Police Academy,Update
tf0087995,1984,Repo Man,Update
tf0088161,1984,Splash,Update
tf0088170,1984,Star Trek III: The Search for Spock,Update
tf0088247,1984,The Terminator,Update
tf0088763,1985,Back to the Future,Update
tf0088846,1985,Brazil,Update
tf0088939,1985,The Color Purple,Update
tf0088944,1985,Commando,Update
tf0088993,1985,Day of the Dead,Update
tf0089457,1985,Ladyhawke,Update
tf0089469,1985,Legend,Update
tf0089893,1985,Red Sonja,Update
tf0089908,1985,Return to Oz,Update
tf0090555,1986,Crocodile Dundee,Update
tf0090605,1986,Aliens,Update
